trcode,block,no,field,type,size,extra,descriptions
CSPAQ12200,OutBlock2,46,CrdtIntdltAmt,long,16,,신용이자미납금액
CSPAQ12200,OutBlock2,47,EtclndAmt,long,16,,기타대여금액
CSPAQ12200,OutBlock2,48,NtdayPrsmptCvrgAmt,long,16,,익일추정반대매매금액
CSPAQ12200,OutBlock2,49,OrgPldgSumAmt,long,16,,원담보합계금액
CSPAQ12200,OutBlock2,50,CrdtOrdAbleAmt,long,16,,신용주문가능금액
CSPAQ12200,OutBlock2,51,SubPldgSumAmt,long,16,,부담보합계금액
CSPAQ12200,OutBlock2,52,CrdtPldgAmtMny,long,16,,신용담보금현금
CSPAQ12200,OutBlock2,53,CrdtPldgSubstAmt,long,16,,신용담보대용금액
CSPAQ12200,OutBlock2,54,AddCrdtPldgMny,long,16,,추가신용담보현금
CSPAQ12200,OutBlock2,55,CrdtPldgRuseAmt,long,16,,신용담보재사용금액
CSPAQ12200,OutBlock2,56,AddCrdtPldgSubst,long,16,,추가신용담보대용
CSPAQ12200,OutBlock2,57,CslLoanAmtdt1,long,16,,매도대금담보대출금액
CSPAQ12200,OutBlock2,58,DpslRestrcAmt,long,16,,처분제한금액
CSPAQ12300,InBlock1,1,RecCnt,long,5,,레코드갯수
CSPAQ12300,InBlock1,2,AcntNo,char,20,,계좌번호
CSPAQ12300,InBlock1,3,Pwd,char,8,,비밀번호
CSPAQ12300,InBlock1,4,BalCreTp,char,1,,잔고생성구분
CSPAQ12300,InBlock1,5,CmsnAppTpCode,char,1,,수수료적용구분
CSPAQ12300,InBlock1,6,D2balBaseQryTp,char,1,,D2잔고기준조회구분
CSPAQ12300,InBlock1,7,UprcTpCode,char,1,,단가구분
CSPAQ12300,OutBlock1,1,RecCnt,long,5,,레코드갯수
CSPAQ12300,OutBlock1,2,AcntNo,char,20,,계좌번호
CSPAQ12300,OutBlock1,3,Pwd,char,8,,비밀번호
CSPAQ12300,OutBlock1,4,BalCreTp,char,1,,잔고생성구분
CSPAQ12300,OutBlock1,5,CmsnAppTpCode,char,1,,수수료적용구분
CSPAQ12300,OutBlock1,6,D2balBaseQryTp,char,1,,D2잔고기준조회구분
CSPAQ12300,OutBlock1,7,UprcTpCode,char,1,,단가구분
CSPAQ12300,OutBlock2,1,RecCnt,long,5,,레코드갯수
CSPAQ12300,OutBlock2,2,BrnNm,char,40,,지점명
CSPAQ12300,OutBlock2,3,AcntNm,char,40,,계좌명
CSPAQ12300,OutBlock2,4,MnyOrdAbleAmt,long,16,,현금주문가능금액
CSPAQ12300,OutBlock2,5,MnyoutAbleAmt,long,16,,출금가능금액
CSPAQ12300,OutBlock2,6,SeOrdAbleAmt,long,16,,거래소금액
CSPAQ12300,OutBlock2,7,KdqOrdAbleAmt,long,16,,코스닥금액
CSPAQ12300,OutBlock2,8,HtsOrdAbleAmt,long,16,,HTS주문가능금액
CSPAQ12300,OutBlock2,9,MgnRat100pctOrdAbleAmt,long,16,,증거금률100퍼센트주문가능금액
CSPAQ12300,OutBlock2,10,BalEvalAmt,long,16,,잔고평가금액
CSPAQ12300,OutBlock2,11,PchsAmt,long,16,,매입금액
CSPAQ12300,OutBlock2,12,RcvblAmt,long,16,,미수금액
CSPAQ12300,OutBlock2,13,PnlRat,double,18.6,,손익율
CSPAQ12300,OutBlock2,14,InvstOrgAmt,long,20,,투자원금
CSPAQ12300,OutBlock2,15,InvstPlAmt,long,16,,투자손익금액
CSPAQ12300,OutBlock2,16,CrdtPldgOrdAmt,long,16,,신용담보주문금액
CSPAQ12300,OutBlock2,17,Dps,long,16,,예수금
CSPAQ12300,OutBlock2,18,D1Dps,long,16,,D1예수금
CSPAQ12300,OutBlock2,19,D2Dps,long,16,,D2예수금
CSPAQ12300,OutBlock2,20,OrdDt,char,8,,주문일
CSPAQ12300,OutBlock2,21,MnyMgn,long,16,,현금증거금액
CSPAQ12300,OutBlock2,22,SubstMgn,long,16,,대용증거금액
CSPAQ12300,OutBlock2,23,SubstAmt,long,16,,대용금액
CSPAQ12300,OutBlock2,24,PrdayBuyExecAmt,long,16,,전일매수체결금액
CSPAQ12300,OutBlock2,25,PrdaySellExecAmt,long,16,,전일매도체결금액
CSPAQ12300,OutBlock2,26,CrdayBuyExecAmt,long,16,,금일매수체결금액
CSPAQ12300,OutBlock2,27,CrdaySellExecAmt,long,16,,금일매도체결금액
CSPAQ12300,OutBlock2,28,EvalPnlSum,long,15,,평가손익합계
CSPAQ12300,OutBlock2,29,DpsastTotamt,long,16,,예탁자산총액
CSPAQ12300,OutBlock2,30,Evrprc,long,19,,제비용
CSPAQ12300,OutBlock2,31,RuseAmt,long,16,,재사용금액
CSPAQ12300,OutBlock2,32,EtclndAmt,long,16,,기타대여금액
CSPAQ12300,OutBlock2,33,PrcAdjstAmt,long,16,,가정산금액
CSPAQ12300,OutBlock2,34,D1CmsnAmt,long,16,,D1수수료
CSPAQ12300,OutBlock2,35,D2CmsnAmt,long,16,,D2수수료
CSPAQ12300,OutBlock2,36,D1EvrTax,long,16,,D1제세금
CSPAQ12300,OutBlock2,37,D2EvrTax,long,16,,D2제세금
CSPAQ12300,OutBlock2,38,D1SettPrergAmt,long,16,,D1결제예정금액
CSPAQ12300,OutBlock2,39,D2SettPrergAmt,long,16,,D2결제예정금액
CSPAQ12300,OutBlock2,40,PrdayKseMnyMgn,long,16,,전일KSE현금증거금
CSPAQ12300,OutBlock2,41,PrdayKseSubstMgn,long,16,,전일KSE대용증거금
CSPAQ12300,OutBlock2,42,PrdayKseCrdtMnyMgn,long,16,,전일KSE신용현금증거금
CSPAQ12300,OutBlock2,43,PrdayKseCrdtSubstMgn,long,16,,전일KSE신용대용증거금
CSPAQ12300,OutBlock2,44,CrdayKseMnyMgn,long,16,,금일KSE현금증거금
CSPAQ12300,OutBlock2,45,CrdayKseSubstMgn,long,16,,금일KSE대용증거금
CSPAQ12300,OutBlock2,46,CrdayKseCrdtMnyMgn,long,16,,금일KSE신용현금증거금
CSPAQ12300,OutBlock2,47,CrdayKseCrdtSubstMgn,long,16,,금일KSE신용대용증거금
CSPAQ12300,OutBlock2,48,PrdayKdqMnyMgn,long,16,,전일코스닥현금증거금
CSPAQ12300,OutBlock2,49,PrdayKdqSubstMgn,long,16,,전일코스닥대용증거금
CSPAQ12300,OutBlock2,50,PrdayKdqCrdtMnyMgn,long,16,,전일코스닥신용현금증거금
CSPAQ12300,OutBlock2,51,PrdayKdqCrdtSubstMgn,long,16,,전일코스닥신용대용증거금
CSPAQ12300,OutBlock2,52,CrdayKdqMnyMgn,long,16,,금일코스닥현금증거금
CSPAQ12300,OutBlock2,53,CrdayKdqSubstMgn,long,16,,금일코스닥대용증거금
CSPAQ12300,OutBlock2,54,CrdayKdqCrdtMnyMgn,long,16,,금일코스닥신용현금증거금
CSPAQ12300,OutBlock2,55,CrdayKdqCrdtSubstMgn,long,16,,금일코스닥신용대용증거금
CSPAQ12300,OutBlock2,56,PrdayFrbrdMnyMgn,long,16,,전일프리보드현금증거금
CSPAQ12300,OutBlock2,57,PrdayFrbrdSubstMgn,long,16,,전일프리보드대용증거금
CSPAQ12300,OutBlock2,58,CrdayFrbrdMnyMgn,long,16,,금일프리보드현금증거금
CSPAQ12300,OutBlock2,59,CrdayFrbrdSubstMgn,long,16,,금일프리보드대용증거금
CSPAQ12300,OutBlock2,60,PrdayCrbmkMnyMgn,long,16,,전일장외현금증거금
CSPAQ12300,OutBlock2,61,PrdayCrbmkSubstMgn,long,16,,전일장외대용증거금
CSPAQ12300,OutBlock2,62,CrdayCrbmkMnyMgn,long,16,,금일장외현금증거금
CSPAQ12300,OutBlock2,63,CrdayCrbmkSubstMgn,long,16,,금일장외대용증거금
CSPAQ12300,OutBlock2,64,DpspdgQty,long,16,,예탁담보수량
CSPAQ12300,OutBlock2,65,BuyAdjstAmtD2,long,16,,매수정산금(D+2)
CSPAQ12300,OutBlock2,66,SellAdjstAmtD2,long,16,,매도정산금(D+2)
CSPAQ12300,OutBlock2,67,RepayRqrdAmtD1,long,16,,변제소요금(D+1)
CSPAQ12300,OutBlock2,68,RepayRqrdAmtD2,long,16,,변제소요금(D+2)
CSPAQ12300,OutBlock2,69,LoanAmt,long,16,,대출금액
CSPAQ12300,OutBlock3,1,IsuNo,char,12,,종목번호
CSPAQ12300,OutBlock3,2,IsuNm,char,40,,종목명
CSPAQ12300,OutBlock3,3,SecBalPtnCode,char,2,,유가증권잔고유형코드
CSPAQ12300,OutBlock3,4,SecBalPtnNm,char,40,,유가증권잔고유형명
CSPAQ12300,OutBlock3,5,BalQty,long,16,,잔고수량
CSPAQ12300,OutBlock3,6,BnsBaseBalQty,long,16,,매매기준잔고수량
CSPAQ12300,OutBlock3,7,CrdayBuyExecQty,long,16,,금일매수체결수량
CSPAQ12300,OutBlock3,8,CrdaySellExecQty,long,16,,금일매도체결수량
CSPAQ12300,OutBlock3,9,SellPrc,double,21.4,,매도가
CSPAQ12300,OutBlock3,10,BuyPrc,double,21.4,,매수가
CSPAQ12300,OutBlock3,11,SellPnlAmt,long,16,,매도손익금액
CSPAQ12300,OutBlock3,12,PnlRat,double,18.6,,손익율
CSPAQ12300,OutBlock3,13,NowPrc,double,15.2,,현재가
CSPAQ12300,OutBlock3,14,CrdtAmt,long,16,,신용금액
CSPAQ12300,OutBlock3,15,DueDt,char,8,,만기일
CSPAQ12300,OutBlock3,16,PrdaySellExecPrc,double,13.2,,전일매도체결가
CSPAQ12300,OutBlock3,17,PrdaySellQty,long,16,,전일매도수량
CSPAQ12300,OutBlock3,18,PrdayBuyExecPrc,double,13.2,,전일매수체결가
CSPAQ12300,OutBlock3,19,PrdayBuyQty,long,16,,전일매수수량
CSPAQ12300,OutBlock3,20,LoanDt,char,8,,대출일
CSPAQ12300,OutBlock3,21,AvrUprc,double,13.2,,평균단가
CSPAQ12300,OutBlock3,22,SellAbleQty,long,16,,매도가능수량
CSPAQ12300,OutBlock3,23,SellOrdQty,long,16,,매도주문수량
CSPAQ12300,OutBlock3,24,CrdayBuyExecAmt,long,16,,금일매수체결금액
CSPAQ12300,OutBlock3,25,CrdaySellExecAmt,long,16,,금일매도체결금액
CSPAQ12300,OutBlock3,26,PrdayBuyExecAmt,long,16,,전일매수체결금액
CSPAQ12300,OutBlock3,27,PrdaySellExecAmt,long,16,,전일매도체결금액
CSPAQ12300,OutBlock3,28,BalEvalAmt,long,16,,잔고평가금액
CSPAQ12300,OutBlock3,29,EvalPnl,long,16,,평가손익
CSPAQ12300,OutBlock3,30,MnyOrdAbleAmt,long,16,,현금주문가능금액
CSPAQ12300,OutBlock3,31,OrdAbleAmt,long,16,,주문가능금액
CSPAQ12300,OutBlock3,32,SellUnercQty,long,16,,매도미체결수량
CSPAQ12300,OutBlock3,33,SellUnsttQty,long,16,,매도미결제수량
CSPAQ12300,OutBlock3,34,BuyUnercQty,long,16,,매수미체결수량
CSPAQ12300,OutBlock3,35,BuyUnsttQty,long,16,,매수미결제수량
CSPAQ12300,OutBlock3,36,UnsttQty,long,16,,미결제수량
CSPAQ12300,OutBlock3,37,UnercQty,long,16,,미체결수량
CSPAQ12300,OutBlock3,38,PrdayCprc,double,15.2,,전일종가
CSPAQ12300,OutBlock3,39,PchsAmt,long,16,,매입금액
CSPAQ12300,OutBlock3,40,RegMktCode,char,2,,등록시장코드
CSPAQ12300,OutBlock3,41,LoanDtlClssCode,char,2,,대출상세분류코드
CSPAQ12300,OutBlock3,42,DpspdgLoanQty,long,16,,예탁담보대출수량
